AreaID,AnalysisAreaName
0,
1,Alpine
2,Alta
3,American Fork
4,Bluffdale
5,Bountiful
6,Brigham City
7,Cedar Fort
8,Cedar Hills
9,Centerville
10,Clearfield
11,Clinton
12,Copperton
13,Cottonwood Heights
14,Draper
15,Eagle Mountain
16,Elk Ridge
17,Emigration Canyon
18,Fairfield
19,Farmington
20,Farr West
21,Fruit Heights
22,Genola
23,Goshen
24,Harrisville
25,Herriman
26,Highland
27,Holladay
28,Hooper
29,Kaysville
30,Kearns
31,Layton
32,Lehi
33,Lindon
34,Magna
35,Mapleton
36,Marriott-Slaterville
37,Midvale
38,Millcreek
39,Murray
40,North Ogden
41,North Salt Lake
42,Ogden
43,Orem
44,Payson
45,Perry
46,Plain City
47,Pleasant Grove
48,Pleasant View
49,Provo
50,Riverdale
51,Riverton
52,Roy
53,Salem
54,Salt Lake City
55,Sandy
56,Santaquin
57,Saratoga Springs
58,South Jordan
59,South Ogden
60,South Salt Lake
61,South Weber
62,Spanish Fork
63,Springville
64,Sunset
65,Syracuse
66,Taylorsville
67,Uintah
68,Utah County
69,Vineyard
70,Washington Terrace
71,West Bountiful
72,West Haven
73,West Jordan
74,West Point
75,West Valley City
76,White City
77,Willard
78,Woodland Hills
79,Woods Cross
