,county_id,AreaID,ClassID,ClassDescription,ClassOrder,parcel_id,Acres,acres_redevelopable,acres_developable,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,job_spaces_undevelopable,job_spaces_remain,job_spaces_redeveloped_orig,job_spaces_redeveloped_new,job_spaces_developed,resunits_undevelopable,resunits_remain,resunits_redeveloped_orig,resunits_redeveloped_new,resunits_developed,density_hhemp_orig,density_hhemp_new,density_hhemp_change
476,3.0,36,b2,Single Family B2,7,24.0,17.64908769078446,2.34529134576,5.712963931249122,4,4,0,8,22,14,0.0,4.578030071082,0.0,0.0,0.0,0.0,6.275118164224023,1.995861501693,4.0,12.0,0.7,1.5,0.8
477,3.0,36,b3,Single Family B3,8,68.0,46.71096865780989,1.42957751754,17.25487584650003,0,0,0,37,75,38,0.0,0.977835293399317,0.0,0.0,0.0,0.0,36.785966789519776,0.9979364507709999,3.0,36.0,0.8,1.6,0.8
478,3.0,36,b4,Single Family B4,9,3.0,0.5154726573052005,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9506078886307,0.0,0.0,0.0,0.0,0.0,0.0
479,3.0,36,h2,Mixed Residential Suburban,35,64.0,19.15537186158992,0.3680195313620326,0.7392029879936701,27,70,43,66,84,18,0.0,27.943639593452787,0.0,14.0,29.0,30.936152984009013,35.007188714979875,0.9979356371418466,6.0,13.0,4.9,8.0,3.1
480,3.0,40,c2,Single Family C2,12,445.0,736.1298591971985,0.0,302.56645245551636,56,56,0,37,1065,1028,55.8695480083,0.997755355883,0.0,0.0,0.0,0.0,37.53119762105935,0.0,0.0,1028.0,0.1,1.5,1.4
481,3.0,40,c3,Single Family C3,13,2.0,9.67987137448,0.0,9.67987137448,0,0,0,0,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,3.3,3.3
482,3.0,40,c4,Single Family C4,14,67.0,36.0549254726588,0.0,32.8613789288948,0,0,0,5,116,111,0.0,0.0,0.0,0.0,0.0,0.0,5.986504229276,0.0,0.0,111.0,0.1,3.2,3.1
483,3.0,40,d1,Single Family D1,16,4456.0,2050.117445825702,173.60647271715516,466.71919759264864,267,265,-2,3900,7567,3667,73.6772105336877,191.86697051066886,1.99557237288,0.0,0.0,10.461838526899538,3749.030716107361,141.37143765848504,1032.0,2776.0,2.0,3.8,1.8
484,3.0,40,d2,Single Family D2,17,1959.0,587.2939434958962,16.628611270014375,123.5279194628355,105,105,0,1642,2450,808,2.62787294347e-08,105.66529411575284,0.0,0.0,0.0,5.287065610949247,1612.7848909518411,24.8929054749954,98.0,734.0,3.0,4.4,1.4
485,3.0,40,d3,Single Family D3,18,70.0,16.940843964588503,0.109124200011,0.6681547001741001,0,0,0,66,69,3,0.0,0.0,0.0,0.0,0.0,0.0,66.75496950178001,5.57508462904e-05,0.0,3.0,3.9,4.1,0.2
486,3.0,40,g2,Mixed-Use Suburban,31,21.0,18.55774644076191,0.183365239643,5.6314307886332795,53,285,232,7,115,108,0.0,53.66645502025999,0.0,7.0,225.0,0.0,7.982837375486835,0.0004671509738469999,3.0,105.0,3.2,21.6,18.4
487,3.0,40,g3,Mixed-Use City/TOD,32,878.0,336.49535710176576,29.58812532010953,86.35256240028373,2093,26862,24769,644,4727,4083,161.2302619552454,1932.548647686574,0.0,6321.0,18448.0,21.90862990534254,578.2121043901071,44.562476124188535,1053.0,3074.0,8.1,93.9,85.8
488,3.0,40,h2,Mixed Residential Suburban,35,59.0,70.51273796044279,1.815436259447,59.93351818545183,0,2475,2475,10,1161,1151,0.016122362333375998,0.0,0.0,72.0,2403.0,0.0,7.71290657178,2.7417513971810004,33.0,1121.0,0.1,51.6,51.5
489,3.0,42,c1,Single Family C1,11,110.0,99.7505730412302,4.546007781506452,66.97217668048803,3,0,-3,20,259,239,0.09129577593530001,0.0,2.993580043582,0.0,0.0,0.0,17.991628723009995,2.99382883028566,15.0,227.0,0.2,2.6,2.4
490,3.0,42,c2,Single Family C2,12,6.0,4.073563267932582,0.0,1.009002094283446,0,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.995950909875,0.0,0.0,3.0,0.0,0.7,0.7
