CO_ORDER,county_id,CO_NAME,Acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,resunits_undevelopable,resunits_remain,resunits_redeveloped_orig,resunits_redeveloped_new,resunits_developed,density_hhemp_orig,density_hhemp_new,density_hhemp_change
1.0,3.0,Weber,64781.78382428197,41900.0,408200.0,366300.0,89600.0,178600.0,89000.0,2700.2202855414967,83063.15638888338,3901.6115439983027,21096.0,71867.0,2.0,9.0,7.0
2.0,1.0,Davis,47045.662860012475,42600.0,769600.0,727000.0,99000.0,233100.0,134100.0,710.0167254178222,96072.51744549496,2271.6063499161205,36939.0,99399.0,3.0,21.0,18.0
3.0,2.0,Salt Lake,101583.16737582843,204900.0,2302700.0,2097800.0,373400.0,745800.0,372400.0,4413.807201402286,348928.6842217639,20164.27472627215,173586.0,219000.0,6.0,30.0,24.0
4.0,4.0,Utah,118991.2322729029,56600.0,409700.0,353100.0,153000.0,428300.0,275300.0,1981.4270751220706,145538.58200160897,5523.883024881031,18952.0,261970.0,2.0,7.0,5.0
10.0,10.0,,332401.8463330258,346000.0,3890300.0,3544300.0,714900.0,1585900.0,871000.0,9805.471287483675,673602.9400577513,31861.375645067605,250573.0,652236.0,3.0,16.0,13.0
