AreaID,AnalysisAreaName,Acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,resunits_undevelopable,resunits_remain,resunits_redeveloped_orig,resunits_redeveloped_new,resunits_developed,density_hhemp_orig,density_hhemp_new,density_hhemp_change
61.0,Spanish Fork,6977.002359570761,6400.0,12400.0,6000.0,10500.0,25600.0,15100.0,111.24128978118911,9751.70374531235,635.324664409382,2105.0,13611.0,2.0,5.0,3.0
62.0,Springville,4365.430422666049,1800.0,9000.0,7200.0,9400.0,21200.0,11800.0,78.64320546387164,8910.71526151376,372.23403794463064,1326.0,10844.0,3.0,7.0,4.0
63.0,Sunset,362.3446961623352,200.0,400.0,200.0,1800.0,2100.0,300.0,0.0,1826.5221615788455,21.32961921889078,193.0,67.0,6.0,7.0,1.0
64.0,Syracuse,4395.4595642206805,2600.0,13600.0,11000.0,6600.0,14500.0,7900.0,8.834397536441772,6592.669803973192,44.23557978895869,1147.0,6771.0,2.0,6.0,4.0
65.0,Taylorsville,3898.6535528064833,1400.0,3100.0,1700.0,21400.0,24200.0,2800.0,402.830333232888,20719.356699185642,323.90077132415365,1200.0,1855.0,6.0,7.0,1.0
66.0,Uintah,583.233246042388,100.0,100.0,0.0,500.0,800.0,300.0,5.94131885760451,451.1774454158694,16.666160468908718,28.0,334.0,1.0,2.0,1.0
67.0,Utah County,1020.2638137929046,0.0,0.0,0.0,100.0,800.0,700.0,0.9960051223355014,110.53391118172934,11.862434591561652,123.0,588.0,0.0,1.0,1.0
68.0,Vineyard,1338.3080002068637,0.0,65300.0,65300.0,300.0,16700.0,16400.0,4.311930790595228,274.89539415193343,3.9816079576611383,31.0,16429.0,0.0,61.0,61.0
69.0,Washington Terrace,717.7541214308393,0.0,0.0,0.0,3400.0,3900.0,500.0,27.189485501857497,3399.457794550511,14.200911464934881,57.0,468.0,5.0,6.0,1.0
70.0,West Bountiful,1175.2290443467125,400.0,400.0,0.0,1600.0,2300.0,700.0,1.35954198683e-05,1594.92888108553,24.50040664200319,257.0,486.0,2.0,2.0,0.0
71.0,West Haven,4639.820809512674,600.0,19700.0,19100.0,3800.0,15300.0,11500.0,73.78686854004948,3662.0425741266477,66.60317048170756,1430.0,10162.0,1.0,8.0,7.0
72.0,West Jordan,4321.545098058142,2800.0,12500.0,9700.0,17100.0,25300.0,8200.0,303.3416500628216,16581.68938424147,197.7734139702165,2414.0,5978.0,5.0,9.0,4.0
73.0,West Point,3145.843202847075,300.0,400.0,100.0,2700.0,7900.0,5200.0,5.627122867111906,2690.447030127996,50.149879617772314,1011.0,4214.0,1.0,3.0,2.0
74.0,West Valley City,8505.54261611199,6300.0,30800.0,24500.0,41300.0,54800.0,13500.0,342.3401994438572,40231.51091027007,726.9394901183126,5873.0,8382.0,6.0,10.0,4.0
75.0,White City,436.155278026653,0.0,0.0,0.0,1800.0,1900.0,100.0,0.998748914752,1819.8903628548248,17.8381431341566,48.0,27.0,4.0,4.0,0.0
76.0,Woodland Hills,1377.1761027386747,0.0,0.0,0.0,400.0,1400.0,1000.0,0.0,371.47642644375435,1.9831381778622712,34.0,989.0,0.0,1.0,1.0
77.0,Woods Cross,850.0415780987634,200.0,4600.0,4400.0,3300.0,5700.0,2400.0,1.6662117082873003,3291.5633175003973,26.576796435901574,233.0,2129.0,4.0,12.0,8.0
2978.0,,316819.2750564885,325700.0,1899200.0,1573500.0,677800.0,1350600.0,672800.0,9031.219416368738,641281.6677753209,27775.514675951206,164627.0,536008.0,3.0,10.0,7.0
