ClassOrder,ClassDescription,Acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,density_hhemp_orig,density_hhemp_new,density_hhemp_change,Acres_Unchanged_Percent,Acres_Redev_Percent,Acres_Dev_Percent,job_spaces_redev_percentadd,job_spaces_dev_percentadd,resunits_redev_percentadd,resunits_dev_percentadd,resunits_undevelopable,resunits_remain,resunits_redeveloped_orig,resunits_redeveloped_new,resunits_developed
1.0,Single Family A1,18557.65352802515,200.0,200.0,0.0,1400.0,14300.0,12900.0,0.0,1.0,1.0,0.45039665217278635,0.035331702889599526,0.5142716449376141,1.0,-0.0,0.05919803059372294,0.9408019694062771,95.3064953924492,1264.3795516551218,64.98283447185835,830.0,12158.0
2.0,Single Family A2,16378.35982609897,500.0,500.0,0.0,3200.0,9200.0,6000.0,0.0,1.0,1.0,0.7098770095636643,0.017563434308947336,0.27255955612738836,1.0,-0.0,0.049175926127704474,0.9508240738722955,1179.984403196247,1970.2223519103118,66.23455160551964,360.0,5680.0
3.0,Single Family A3,18497.521644638127,1500.0,1400.0,-100.0,5600.0,9100.0,3500.0,0.0,1.0,1.0,0.8468227277214083,0.01862343487925902,0.1345538373993327,1.0,-0.0,0.10749038737045356,0.8925096126295464,469.9276194170796,5061.180120009954,53.30145102085879,434.0,3161.0
4.0,Single Family A4,7297.470037285826,1100.0,1000.0,-100.0,3600.0,7000.0,3400.0,1.0,1.0,0.0,0.6342631185181772,0.020965705504041837,0.3447711759777809,1.0,-0.0,0.04836309984620941,0.9516369001537905,22.90924915656673,3578.8167662904316,27.42375229142417,190.0,3199.0
5.0,Single Family A5,6544.004600385471,900.0,800.0,-100.0,2100.0,4600.0,2500.0,0.0,1.0,1.0,0.6891173953170848,0.02728420594542396,0.28359839873749126,1.0,-0.0,0.060893753941912446,0.9391062460580876,96.89096108959161,1899.0673920925367,70.97231020863174,224.0,2360.0
6.0,Single Family B1,10020.504069121112,1100.0,1100.0,0.0,2800.0,15100.0,12300.0,0.0,2.0,2.0,0.4221036532353214,0.02646880031592057,0.551427546448758,1.0,-0.0,0.04211685334389618,0.9578831466561039,70.00265421810636,2697.0069012069494,42.07156043773307,558.0,11734.0
7.0,Single Family B2,12842.00893225054,800.0,700.0,-100.0,12000.0,23000.0,11000.0,1.0,2.0,1.0,0.5909214716779939,0.038812486724129375,0.3702660415978767,1.0,-0.0,0.08493011153424937,0.9150698884657507,53.50439150706268,11797.793898091326,114.96293118394472,1052.0,10096.0
8.0,Single Family B3,8649.16627817115,2900.0,2800.0,-100.0,10800.0,16200.0,5400.0,2.0,2.0,0.0,0.7006893636519789,0.030063086404918303,0.2692475499431028,1.0,-0.0,0.07528441020976148,0.9247155897902385,39.16440268598087,10646.83181435942,143.22396368439067,545.0,4935.0
9.0,Single Family B4,9344.207920034502,1400.0,1300.0,-100.0,10200.0,15600.0,5400.0,1.0,2.0,1.0,0.714409991332637,0.03228403493894869,0.2533059737284143,1.0,-0.0,0.07923953316713149,0.9207604668328686,92.99363407768051,9895.692190570244,202.32910112497555,634.0,5016.0
10.0,Single Family B5,4113.2049549709445,400.0,400.0,0.0,6300.0,7700.0,1400.0,2.0,2.0,0.0,0.8133858203018749,0.06499201828656542,0.12162216141155964,1.0,-0.0,0.2403333989353143,0.7596666010646858,41.88273144395067,6014.7940087599,229.65104229356416,565.0,1060.0
11.0,Single Family C1,29693.599908169537,2100.0,1900.0,-200.0,16800.0,80800.0,64000.0,1.0,3.0,2.0,0.36324058770631257,0.031049102300207035,0.6057103099934804,1.0,-0.0,0.045008871625843376,0.9549911283741566,144.69327839426012,16419.597618666197,243.79276429816176,3125.0,61133.0
12.0,Single Family C2,15228.765959693306,1800.0,1800.0,0.0,28300.0,42800.0,14500.0,2.0,3.0,1.0,0.713386488230424,0.03005156865482405,0.25656194311475194,1.0,-0.0,0.0856088634747059,0.914391136525294,179.99971841832732,27828.444893018073,303.5172354687466,1546.0,13271.0
13.0,Single Family C3,12518.231074051811,3300.0,3100.0,-200.0,34300.0,42500.0,8200.0,3.0,4.0,1.0,0.799976274646253,0.03131650535975207,0.16870721999399493,1.0,-0.0,0.11860667494313816,0.8813933250568619,91.18455716990927,33911.95594964369,363.0947961990871,1327.0,7163.0
14.0,Single Family C4,17523.314891311133,9700.0,9200.0,-500.0,50200.0,61700.0,11500.0,3.0,4.0,1.0,0.7917465186442372,0.03913322386640992,0.16912025748935292,1.0,-0.0,0.12186467701267956,0.8781353229873206,132.09093242004985,49208.203996832926,924.4905866139478,2321.0,10063.0
15.0,Single Family C5,6635.106094769161,1900.0,1800.0,-100.0,21500.0,24300.0,2800.0,4.0,4.0,0.0,0.8697820912330843,0.02360610708002159,0.10661180168689413,1.0,-0.0,0.13362504696244007,0.86637495303756,42.64011825847868,21293.208201727037,155.99104886519476,526.0,2399.0
16.0,Single Family D1,26760.692815000744,10100.0,9900.0,-200.0,68400.0,121600.0,53200.0,3.0,5.0,2.0,0.6561624924593852,0.04605652223902347,0.2977809853015913,1.0,-0.0,0.11029938035636752,0.8897006196436326,362.20947057341203,66556.57016221609,1446.031938667231,7323.0,47405.0
17.0,Single Family D2,9099.028116583797,4000.0,3600.0,-400.0,37100.0,46500.0,9400.0,5.0,6.0,1.0,0.8055601616751732,0.0655456733082521,0.12889416501657475,1.0,-0.0,0.2568210067281694,0.7431789932718307,200.8703612848896,35822.11989506171,1132.7533621579853,3540.0,6966.0
