ClassOrder,ClassDescription,Acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,density_hhemp_orig,density_hhemp_new,density_hhemp_change,Acres_Unchanged_Percent,Acres_Redev_Percent,Acres_Dev_Percent,job_spaces_redev_percentadd,job_spaces_dev_percentadd,resunits_redev_percentadd,resunits_dev_percentadd,resunits_undevelopable,resunits_remain,resunits_redeveloped_orig,resunits_redeveloped_new,resunits_developed
18.0,Single Family D3,4449.424398804222,1900.0,1800.0,-100.0,20900.0,22700.0,1800.0,5.0,6.0,1.0,0.8942994829391043,0.05976682905811954,0.0459336880027761,1.0,-0.0,0.35652549997736094,0.6434745000226391,19.389559794388173,19947.54604695583,906.7998569367242,1575.0,1206.0
19.0,Single Family D4,4929.052478748489,2100.0,1800.0,-300.0,23600.0,25200.0,1600.0,5.0,5.0,0.0,0.927432855535609,0.04153327426113869,0.03103387020325235,1.0,-0.0,0.4375459085553999,0.5624540914446001,52.35649403182183,22999.007578988167,507.20186770614333,1212.0,906.0
20.0,Single Family D5,11574.779219842256,2900.0,2400.0,-500.0,48100.0,55400.0,7300.0,4.0,5.0,1.0,0.8378754109883628,0.123777462454348,0.0383471265572892,1.0,-0.0,0.6388398949374627,0.36116010506253726,93.70913298733181,44119.840224520405,3857.2979477798103,8520.0,2636.0
21.0,Single Family E1,6848.731876922573,2600.0,2600.0,0.0,20200.0,46600.0,26400.0,3.0,7.0,4.0,0.5204220081593238,0.06325372748111317,0.4163242643595631,1.0,-0.0,0.08459628197343906,0.915403718026561,96.89595622488415,18652.988561956718,1438.8044714573102,3678.0,24230.0
22.0,Single Family E2,8982.003070694396,2000.0,1700.0,-300.0,21900.0,60000.0,38100.0,3.0,7.0,4.0,0.4823984527016192,0.06011618149369244,0.45748536580468835,1.0,-0.0,0.08415430962356385,0.9158456903764363,457.3715535057694,20049.29879375575,1374.7655218762493,4583.0,34915.0
23.0,Single Family E3,1979.0519441961485,1900.0,1800.0,-100.0,13000.0,16300.0,3300.0,8.0,9.0,1.0,0.7458167109559581,0.1403577277689469,0.11382556127509487,1.0,-0.0,0.42275711680548,0.5772428831945199,96.7275757287139,11989.185021769237,958.8998943470681,2357.0,1909.0
24.0,Single Family E4,1518.831853615392,1500.0,1400.0,-100.0,9400.0,11200.0,1800.0,7.0,8.0,1.0,0.7724521449065573,0.20196520207929994,0.025582653014142774,1.0,-0.0,0.8126635948777508,0.18733640512224922,289.07692664703575,7937.752000737775,1183.1390299394363,2606.0,328.0
25.0,Single Family E5,1155.0017164270007,500.0,500.0,0.0,9500.0,10000.0,500.0,9.0,9.0,0.0,0.901066449078781,0.08332003040890061,0.015613520512318447,1.0,-0.0,0.679240939545096,0.320759060454904,24.051090333694425,8988.321238141778,497.2416688530944,817.0,151.0
26.0,Multifamily Single Story,3956.496419538982,2200.0,8900.0,6700.0,29800.0,35200.0,5400.0,8.0,11.0,3.0,0.8085959302881462,0.03875652681404854,0.15264754289780524,0.18030702983423896,0.8196929701657611,0.13030538874303857,0.8696946112569615,1017.1358304389677,28351.490952142376,483.4488562232917,1183.0,4669.0
27.0,Multifamily Suburban,4136.348537980718,3200.0,59300.0,56100.0,32300.0,57600.0,25300.0,9.0,28.0,19.0,0.6589244159202101,0.04865194763779937,0.2924236364419905,0.1352143050123846,0.8647856949876154,0.10681500211592254,0.8931849978840775,922.1107765122024,30330.23479279167,1050.4209613960966,3756.0,22624.0
28.0,Multifamily City/TOD,859.7943637398287,3500.0,52800.0,49300.0,15800.0,23500.0,7700.0,22.0,89.0,67.0,0.7262107547546605,0.11634552513429629,0.1574437201110432,0.4143473348384716,0.5856526651615285,0.36845212160506496,0.631547878394935,483.67949048633164,14606.633775178889,749.1247162371275,3560.0,4818.0
29.0,Multifamily Metro,100.50594817067407,100.0,16300.0,16200.0,4200.0,5500.0,1300.0,43.0,217.0,174.0,0.788121115903513,0.10898699012568223,0.10289189397080484,0.5132152526321976,0.4867847473678025,0.39069887328896785,0.6093011267110322,479.03469832707856,3366.566923596744,330.7150125692812,836.0,788.0
30.0,Mixed-Use Single Story,5130.210583285387,15200.0,48100.0,32900.0,3400.0,32900.0,29500.0,4.0,16.0,12.0,0.24410634838491563,0.053050934429760395,0.702842717185324,0.004025679739678933,0.9959743202603211,0.05379944202658319,0.9462005579734167,53.34311395085634,2800.8355108123383,511.74113510267995,2099.0,27916.0
31.0,Mixed-Use Suburban,9189.461561590399,68600.0,263300.0,194700.0,10600.0,112300.0,101700.0,9.0,41.0,32.0,0.40361697946343755,0.17504296606672734,0.4213400544698351,0.20266592021294155,0.7973340797870584,0.28770846372484327,0.7122915362751568,292.48861875976064,9476.312847185667,829.0495301931466,30091.0,72445.0
32.0,Mixed-Use City/TOD,4615.103223408531,58800.0,618300.0,559500.0,14000.0,109700.0,95700.0,16.0,158.0,142.0,0.4106462433334297,0.1643820906760061,0.4249716659905643,0.2510460973469059,0.748953902653094,0.2703501793776047,0.7296498206223953,270.59422604492755,12553.028062722842,1133.8159836277066,27008.0,69832.0
33.0,Mixed-Use Metro,2047.339839718262,104600.0,665600.0,561000.0,8200.0,65100.0,56900.0,55.0,357.0,302.0,0.6309752545309031,0.18014719515690858,0.1888775503121883,0.4732816163239103,0.5267183836760898,0.4809897343905661,0.5190102656094339,79.47768664431207,7315.206309799176,800.4902044563103,28183.0,29547.0
34.0,Mixed Residential Single Story,10873.992603596427,3400.0,29900.0,26500.0,38600.0,60700.0,22100.0,4.0,8.0,4.0,0.7279128966983823,0.03252571965042849,0.23956138365118923,0.10531353985352643,0.8946864601464736,0.08509222362746738,0.9149077763725327,349.90619020703764,37429.29373599359,856.2481368745266,2732.0,20168.0
35.0,Mixed Residential Suburban,4312.355091541638,5800.0,43100.0,37300.0,30400.0,45100.0,14700.0,8.0,20.0,12.0,0.7814864746657589,0.11757452612414047,0.10093899921010059,0.5318521621571674,0.46814783784283265,0.44641230400325427,0.5535876959967457,558.9433922052885,26942.529389681804,2919.3351654263774,9481.0,8137.0
36.0,Mixed Residential City/TOD,457.94967410588714,1500.0,38200.0,36700.0,9400.0,13900.0,4500.0,24.0,114.0,90.0,0.6176184141584065,0.32200448191797415,0.060377103923619335,0.8390819306473475,0.16091806935265254,0.7779708506578729,0.2220291493421271,78.67212483429368,7559.710296478194,1802.149484355571,5250.0,984.0
37.0,Total,316819.27505648846,325700.0,1899200.0,1573500.0,677800.0,1350600.0,672800.0,3.0,10.0,7.0,0.6472657338600372,0.04953659159227613,0.30319767454768676,0.3387301073343465,0.6612698926656535,0.20338791130831899,0.796612088691681,9031.219416368736,641281.6677753209,27775.514675951203,164627.0,536008.0
